timestamp            iface      rx_bytes/s   tx_bytes/s   rx_packets/s tx_packets/s rx_errs/s  tx_errs/s 
2025-09-27 13:35:16  lo         5718         5718         65           65           0          0         
2025-09-27 13:35:16  lo         5718         5718         65           65           0          0         
2025-09-27 13:35:16  ens33      3380         3618         29           27           0          0         
2025-09-27 13:35:16  ens33      3440         3618         30           27           0          0         
2025-09-27 13:35:16  docker0    0            0            0            0            0          0         
2025-09-27 13:35:16  docker0    0            0            0            0            0          0         
2025-09-27 13:35:16  lo         4658         4658         49           49           0          0         
2025-09-27 13:35:16  ens33      2742         2838         23           19           0          0         
2025-09-27 13:35:16  docker0    0            0            0            0            0          0         
2025-09-27 13:35:17  lo         104          104          2            2            0          0         
2025-09-27 13:35:17  lo         104          104          2            2            0          0         
2025-09-27 13:35:17  ens33      7822         6301         14           10           0          0         
2025-09-27 13:35:17  ens33      7762         6301         13           10           0          0         
2025-09-27 13:35:17  docker0    0            0            0            0            0          0         
2025-09-27 13:35:17  docker0    0            0            0            0            0          0         
2025-09-27 13:35:17  lo         104          104          2            2            0          0         
2025-09-27 13:35:17  ens33      7762         6301         13           10           0          0         
2025-09-27 13:35:17  docker0    0            0            0            0            0          0         
2025-09-27 13:35:18  lo         2496         2496         32           32           0          0         
2025-09-27 13:35:18  lo         2496         2496         32           32           0          0         
2025-09-27 13:35:18  ens33      1674         1526         14           14           0          0         
2025-09-27 13:35:18  ens33      1674         1526         14           14           0          0         
2025-09-27 13:35:18  docker0    0            0            0            0            0          0         
2025-09-27 13:35:18  docker0    0            0            0            0            0          0         
2025-09-27 13:35:19  lo         2600         2600         34           34           0          0         
2025-09-27 13:35:19  ens33      1674         1526         14           14           0          0         
2025-09-27 13:35:19  docker0    0            0            0            0            0          0         
2025-09-27 13:35:20  lo         2782         2782         33           33           0          0         
2025-09-27 13:35:20  lo         2782         2782         33           33           0          0         
2025-09-27 13:35:20  ens33      9769         8226         30           26           0          0         
2025-09-27 13:35:20  ens33      9769         8226         30           26           0          0         
2025-09-27 13:35:20  docker0    0            0            0            0            0          0         
2025-09-27 13:35:20  docker0    0            0            0            0            0          0         
2025-09-27 13:35:20  lo         3347         3347         42           42           0          0         
2025-09-27 13:35:20  ens33      10103        8416         33           28           0          0         
2025-09-27 13:35:20  docker0    0            0            0            0            0          0         
2025-09-27 13:35:21  lo         4648         4648         66           66           0          0         
2025-09-27 13:35:21  lo         4648         4648         66           66           0          0         
2025-09-27 13:35:21  ens33      3320         7917         32           31           0          0         
2025-09-27 13:35:21  docker0    0            0            0            0            0          0         
2025-09-27 13:35:21  ens33      3458         7917         33           31           0          0         
2025-09-27 13:35:21  docker0    0            0            0            0            0          0         
2025-09-27 13:35:21  lo         3979         3979         55           55           0          0         
2025-09-27 13:35:21  ens33      10417        8076         37           34           0          0         
2025-09-27 13:35:21  docker0    0            0            0            0            0          0         
2025-09-27 13:35:22  lo         19201        19201        192          192          0          0         
2025-09-27 13:35:22  ens33      20479        13523        108          109          0          0         
2025-09-27 13:35:22  lo         19253        19253        193          193          0          0         
2025-09-27 13:35:22  docker0    0            0            0            0            0          0         
2025-09-27 13:35:22  ens33      20401        13523        108          109          0          0         
2025-09-27 13:35:22  docker0    0            0            0            0            0          0         
2025-09-27 13:35:22  lo         19692        19692        199          199          0          0         
2025-09-27 13:35:22  ens33      13428        13402        104          106          0          0         
2025-09-27 13:35:22  docker0    0            0            0            0            0          0         
2025-09-27 13:35:23  lo         1506         1506         22           22           0          0         
2025-09-27 13:35:23  ens33      9353         6605         32           23           0          0         
2025-09-27 13:35:23  lo         1454         1454         21           21           0          0         
2025-09-27 13:35:23  docker0    0            0            0            0            0          0         
2025-09-27 13:35:23  ens33      9293         6605         31           23           0          0         
2025-09-27 13:35:23  lo         1015         1015         15           15           0          0         
2025-09-27 13:35:23  docker0    0            0            0            0            0          0         
2025-09-27 13:35:23  ens33      8973         6377         28           21           0          0         
2025-09-27 13:35:23  docker0    0            0            0            0            0          0         
2025-09-27 13:35:24  lo         1805         1805         27           27           0          0         
2025-09-27 13:35:24  ens33      1318         972          14           9            0          0         
2025-09-27 13:35:24  lo         1805         1805         27           27           0          0         
2025-09-27 13:35:24  docker0    0            0            0            0            0          0         
2025-09-27 13:35:24  ens33      1318         972          14           9            0          0         
2025-09-27 13:35:24  docker0    0            0            0            0            0          0         
2025-09-27 13:35:24  lo         1805         1805         27           27           0          0         
2025-09-27 13:35:24  ens33      1318         972          14           9            0          0         
2025-09-27 13:35:24  docker0    0            0            0            0            0          0         
2025-09-27 13:35:25  lo         870          870          12           12           0          0         
2025-09-27 13:35:25  ens33      8229         5724         17           15           0          0         
2025-09-27 13:35:25  lo         870          870          12           12           0          0         
2025-09-27 13:35:25  docker0    0            0            0            0            0          0         
2025-09-27 13:35:25  ens33      8229         5724         17           15           0          0         
2025-09-27 13:35:25  docker0    0            0            0            0            0          0         
2025-09-27 13:35:25  lo         870          870          12           12           0          0         
2025-09-27 13:35:25  ens33      8229         5724         17           15           0          0         
2025-09-27 13:35:25  docker0    0            0            0            0            0          0         
2025-09-27 13:35:26  lo         1060         1060         13           13           0          0         
2025-09-27 13:35:26  ens33      806          456          7            4            0          0         
2025-09-27 13:35:26  docker0    0            0            0            0            0          0         
2025-09-27 13:35:26  lo         1060         1060         13           13           0          0         
2025-09-27 13:35:26  ens33      806          456          7            4            0          0         
2025-09-27 13:35:26  docker0    0            0            0            0            0          0         
2025-09-27 13:35:26  lo         1060         1060         13           13           0          0         
2025-09-27 13:35:26  ens33      806          456          7            4            0          0         
2025-09-27 13:35:26  docker0    0            0            0            0            0          0         
2025-09-27 13:35:27  lo         104          104          2            2            0          0         
2025-09-27 13:35:27  ens33      7938         6309         14           12           0          0         
2025-09-27 13:35:27  docker0    0            0            0            0            0          0         
