timestamp            us  sy  id  wa  hi  si 
2025-09-27 13:35:16  11  27  62  0   0   0  
2025-09-27 13:35:16  20  29  51  0   0   0  
2025-09-27 13:35:16  21  27  52  0   0   0  
2025-09-27 13:35:17  11  22  66  0   0   0  
2025-09-27 13:35:17  3   17  80  0   0   0  
2025-09-27 13:35:17  1   13  87  0   0   0  
2025-09-27 13:35:18  1   19  80  0   0   0  
2025-09-27 13:35:18  1   19  80  0   0   0  
2025-09-27 13:35:18  1   13  87  0   0   0  
2025-09-27 13:35:19  2   21  77  0   0   0  
2025-09-27 13:35:19  2   21  77  0   0   0  
2025-09-27 13:35:19  2   22  77  0   0   0  
2025-09-27 13:35:20  2   16  83  0   0   0  
2025-09-27 13:35:20  2   18  81  0   0   0  
2025-09-27 13:35:20  2   19  80  0   0   0  
2025-09-27 13:35:21  1   12  87  0   0   0  
2025-09-27 13:35:21  1   18  81  0   0   0  
2025-09-27 13:35:21  2   17  81  0   0   0  
2025-09-27 13:35:22  1   13  86  0   0   0  
2025-09-27 13:35:22  2   17  82  0   0   0  
2025-09-27 13:35:22  1   18  81  0   0   0  
2025-09-27 13:35:23  1   17  82  0   0   0  
2025-09-27 13:35:23  1   12  87  0   0   0  
2025-09-27 13:35:23  3   18  79  0   0   0  
2025-09-27 13:35:24  3   18  80  0   0   0  
2025-09-27 13:35:24  2   11  87  0   0   0  
2025-09-27 13:35:24  1   15  84  0   0   0  
2025-09-27 13:35:25  1   17  82  0   0   0  
2025-09-27 13:35:25  2   17  82  0   0   0  
2025-09-27 13:35:25  2   14  84  0   0   0  
2025-09-27 13:35:26  2   17  81  0   0   0  
2025-09-27 13:35:26  1   16  82  0   0   0  
2025-09-27 13:35:26  1   10  89  0   0   0  
2025-09-27 13:35:27  1   16  83  0   0   0  
2025-09-27 13:35:27  1   16  83  0   0   0  
2025-09-27 13:35:27  1   13  86  0   0   0  
2025-09-27 13:35:28  1   17  82  0   0   0  
2025-09-27 13:35:28  1   16  82  0   0   0  
2025-09-27 13:35:28  1   16  83  0   0   0  
2025-09-27 13:35:29  1   15  84  0   0   0  
2025-09-27 13:35:29  1   16  83  0   0   0  
2025-09-27 13:35:29  1   16  83  0   0   0  
