packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552973896",ack="4162201513",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552973896",ack="4162201513",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="192.168.239.132",sport="50488",daddr="123.56.228.182",dport="443",seq="4162201513",ack="1552974401",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc4881200",saddr="192.168.239.132",sport="50488",daddr="123.56.228.182",dport="443",seq="4162201640",ack="1552974401",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552974401",ack="4162201826",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="123.56.228.182",sport="443",daddr="192.168.239.132",dport="50488",seq="1552974401",ack="4162201826",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4881200",saddr="192.168.239.132",sport="50488",daddr="123.56.228.182",dport="443",seq="4162201826",ack="1552974739",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc4883600",saddr="192.168.239.132",sport="58302",daddr="20.200.245.247",dport="443",seq="3512332782",ack="2139624975",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc4883600",saddr="20.200.245.247",sport="443",daddr="192.168.239.132",dport="58302",seq="2139624975",ack="3512333181",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4883600",saddr="20.200.245.247",sport="443",daddr="192.168.239.132",dport="58302",seq="2139624975",ack="3512333181",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4883600",saddr="192.168.239.132",sport="58302",daddr="20.200.245.247",dport="443",seq="3512333181",ack="2139628509",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc4883600",saddr="20.200.245.247",sport="443",daddr="192.168.239.132",dport="58302",seq="2139624975",ack="3512333181",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4883600",saddr="20.200.245.247",sport="443",daddr="192.168.239.132",dport="58302",seq="2139624975",ack="3512333181",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4883600",saddr="20.200.245.247",sport="443",daddr="192.168.239.132",dport="58302",seq="2139624975",ack="3512333181",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4883600",saddr="20.200.245.247",sport="443",daddr="192.168.239.132",dport="58302",seq="2139624975",ack="3512333181",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4883600",saddr="20.200.245.247",sport="443",daddr="192.168.239.132",dport="58302",seq="2139624975",ack="3512333181",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4883600",saddr="20.200.245.247",sport="443",daddr="192.168.239.132",dport="58302",seq="2139624975",ack="3512333181",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4883600",saddr="20.200.245.247",sport="443",daddr="192.168.239.132",dport="58302",seq="2139624975",ack="3512333181",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4883600",saddr="20.200.245.247",sport="443",daddr="192.168.239.132",dport="58302",seq="2139624975",ack="3512333181",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4883600",saddr="20.200.245.247",sport="443",daddr="192.168.239.132",dport="58302",seq="2139624975",ack="3512333181",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4883600",saddr="20.200.245.247",sport="443",daddr="192.168.239.132",dport="58302",seq="2139624975",ack="3512333181",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="1"} 
packet{sock="0xffff88cdc4883600",saddr="192.168.239.132",sport="58302",daddr="20.200.245.247",dport="443",seq="3512333187",ack="2139628509",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc4883600",saddr="192.168.239.132",sport="58302",daddr="20.200.245.247",dport="443",seq="3512333245",ack="2139628509",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc4883600",saddr="192.168.239.132",sport="58302",daddr="20.200.245.247",dport="443",seq="3512333291",ack="2139628509",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
packet{sock="0xffff88cdc4883600",saddr="192.168.239.132",sport="58302",daddr="20.200.245.247",dport="443",seq="3512333340",ack="2139628509",mac_time="0",ip_time="0",tran_time="0",http_info="-",rx="0"} 
